name,price,status,shipping,free_returns,items_sold
Adjustable Office Executive Desk Chair Ergonomic Swivel Conference Chair Leather,5899,Brand New,0,False,
HOFFREE 7Point Massage Office Chair Executive Gaming Computer Leather w/Footrest,16719,Brand New,0,True,
Upholstered Velvet Button Tufted Backrest High Back Ottoman Accent Chair Living ,12999,Brand New,0,False,
"Mid-Back Mesh Adjustable Ergonomic Computer Chair, Gray",3988,Brand New,0,False,
Manon Blue & White Floral Print Fabric Club Chair,22999,Brand New,0,False,
Mesh Office Chair Ergonomic Black Mid Back Computer Desk Chair,1999,Refurbished,10825,False,65
Office Leather Ergonomic Executive Desk Chair Swivel Computer Chair Gaming Chair,6999,Brand New,0,True,88
PU Leather Recliner Chair Living Room Single Sofa Home Theater Seating Brown,15499,Brand New,0,False,807
Knoll Re-Generation Ergonomic Office Chair  all black  ,24911,New – Open box,0,True,223
Exectuive High Back Chair Managerial Home Desk Office Chair with Lumbar Support,9475,Brand New,0,False,
HOFFREE Leather Massage Office Chair Executive Gaming Computer Chair Footrest,16299,Brand New,1938,False,177
Herman Miller Aeron Remastered - Size B Graphite -open box - Highly Adjustable,64911,New – Open box,0,True,334
Hoffree Gaming Chair Massage Ergonomic Office Computer Racing Lumbar PU Footrest,3599,Brand New,0,True,
Herman Miller  Embody Office Chair - Grey  Fabric   BRAND NEW,105000,Brand New,0,True,76
Home Office Chair Mesh Executive Task Chair Swivel Computer Desk Chair Headrest,8299,Brand New,0,True,
Herman Miller Aeron Remastered Chair - Size B Graphite -open box -,89911,New – Open box,0,True,263
Ergonomic Gaming Chair Bluetooth Speakers Footrest Office Massage Swivel Chair,27999,Brand New,0,True,
Computer Chair Mesh Swivel Home Office Desk Chair w/ Wheel Mid-Back Task Chair,4559,Brand New,0,False,52
Ergonomic Mesh Tall Drafting Chair Office Lumbar Support Adjustable Foot Ring,8599,Brand New,0,True,
Office Gaming Chair Computer Racing PU Executive Vibration Seat Swivel Blue,11999,Brand New,0,True,
Ergonomic Gaming Racing Chair Computer Office Desk Seat Swivel Recliner Footrest,15900,Brand New,0,True,21
Black Leather Executive [CHAIR+PROTECTION CARPET] Manager Highback Computer Seat,10599,Brand New,0,True,
Gaming Chair Office Racing Computer Desk Seat Recliner Footrest Swivel Vibration,10899,Brand New,0,False,11
EXECUTIVE CHAIR by HAWORTH ZODY in Black COLOR LOADED CHAIR* desk mesh chair,25997,Refurbished,0,False,
Power Lift Massage Recliner Chair for Elderly Heated fabric Recliner Ergonomic,38999,Brand New,0,False,83
"Steelcase Leap V2 Chair,   Fully Loaded ",34911,Refurbished,0,True,207
Ergonomic Reclining Massage Office Computer Chair Adjustable Swivel Gaming Chair,12999,Brand New,0,True,99
"X Rocker Play 2.0 Floor Rocker Gaming Chair, Black/Red",5599,Brand New,0,False,
"Linen Manual Recliner Armchair w/Two Cup Holders, Footrest for Living Room Black",25999,Brand New,0,False,
Executive Mesh Office Task Chair Foldable Ergonomic Computer Desk Chair Swivel,8599,Brand New,0,True,
Herman Miller Aeron Remastered Chair - Size C  Graphite  -open box -,89911,New – Open box,0,True,311
Home Office Velvet Chair Mid Back Swivel Executive Task Desk Seat Vanity Chair ,5699,Brand New,0,False,
X Rocker SE 2.1 Black Leather Video Gaming Chair Includes Ergonomic Back Support,25285,Brand New,0,False,12
VEVOR Ergonomic Kneeling Chair bentwood Stool Strengthen Muscles Furniture White,7659,Brand New,0,True,
Chair Tilt Control Mechanism Swivel Base Plate Mounting Hole Office Indoor Home,2239,Brand New,0,True,
Replacement Office Chair Adjustable and T-Arm Pad Armrest Top Cap 1 Pair (2pc),1695,Brand New,0,False,817
Home Office Mesh Chair Ergonomic High Back Computer Desk Task Swivel Chair,4900,Brand New,0,False,14
Gaming Chair Racing High Back Office Computer Desk Seat Recliner Footrest Swivel,15199,Brand New,0,True,
White Office Chair High back Computer Racing Gaming Chair Ergonomic Chair,5999,Brand New,0,False,
Swivel Xtreme Swivel Chair with Footrest,9151,Brand New,0,False,
"Aloudy Ergonomic Memory Foam Office Chair Armrest Pads, Comfy Gaming 2 per Pack",1349,Brand New,0,False,
Set of 4 Adjustable Modern Swivel Bar Stools Dining Chair Counter Height  Black,15758,Brand New,0,True,
Adjustable Executive Office Chair Study Computer Chair Task Desk Swivel Mid Back,6299,Brand New,0,False,7
Mid-Century Accent Chair Reading Armchair Upholstered Single Lounge Sofa 2 Color,10999,Brand New,0,True,7
"Adjustable Faux Leather Swivel Office Chair, Black",5984,Brand New,0,False,
Amia  Chair by Steelcase - open box ,32911,New – Open box,0,True,353
"Office Chair with Matching Color Casters, Adjustable, Bonded Leather Upholstery",4543,Brand New,0,True,
Leather Gaming Chair Swivel Computer Desk Chair Ergonomic Executive Office Chair,6799,Brand New,0,False,
"AKRacing Core Series EX Gaming Chair, Black/Blue ",17000,New – Open box,0,False,
Black PU Leather High Back Office Chair Executive Ergonomic Computer Desk Swivel,10799,Brand New,0,True,374
Lumbar Back Support Pad Size B Black For Herman Miller Aeron Chair,1700,Brand New,0,True,457
Ergonomic Gaming Chair Leather Executive Computer Office Desk Chair Swivel,6364,Brand New,0,True,
Freedom Chair by Humanscale -OPEN BOX ,34911,New – Open box,0,True,352
NRG INNOVATIONS RSC-G100BL BLUE ADJUSTABLE OFFICE COMPUTER DESK GAMING CHAIR,11999,Brand New,0,True,
